"","scorer","minute","assist","team_ha","team_name","team_id","match_date","match_id"
"1","Russo",48,"Toone","home","Manchester United Women","TFBB14501","2021-09-26","58613147"
"2","Kirby",2,"Kerr","away","Chelsea Women","TFBB6275","2021-09-26","58613147"
"3","Harder",24,NA,"away","Chelsea Women","TFBB6275","2021-09-26","58613147"
"4","Kerr",41,"Kirby","away","Chelsea Women","TFBB6275","2021-09-26","58613147"
"5","Kerr",51,"Kirby","away","Chelsea Women","TFBB6275","2021-09-26","58613147"
"6","Spence",87,"England","away","Chelsea Women","TFBB6275","2021-09-26","58613147"
"7","Fleming",92,NA,"away","Chelsea Women","TFBB6275","2021-09-26","58613147"
"8","Gielnik",48,"Gregory","away","Aston Villa Women","TFBB9673","2021-09-26","58613140"
"9","Naz",85,"Tang","home","Tottenham Hotspur Women","TFBB6924","2021-09-26","58613145"
"10","Yallop",26,"Longhurst","home","West Ham United Women","TFBB636","2021-09-26","58613143"
"11","Walker",38,"Flaherty","home","West Ham United Women","TFBB636","2021-09-26","58613143"
"12","Plumptre",46,NA,"home","West Ham United Women","TFBB636","2021-09-26","58613143"
"13","Levell",81,NA,"home","West Ham United Women","TFBB636","2021-09-26","58613143"
"14","Miedema",10,"Mead","home","Arsenal Women","TFBB6272","2021-09-26","58613139"
"15","Little",23,"Miedema","home","Arsenal Women","TFBB6272","2021-09-26","58613139"
"16","Little",78,NA,"home","Arsenal Women","TFBB6272","2021-09-26","58613139"
"17","McCabe",60,NA,"home","Arsenal Women","TFBB6272","2021-09-26","58613139"
"18","Williamson",94,"Wubben-Moy","home","Arsenal Women","TFBB6272","2021-09-26","58613139"
"19","Maier",13,NA,"home","Everton Women","TFBB6277","2021-09-25","58606466"
"20","Bennison",73,"Duggan","home","Everton Women","TFBB6277","2021-09-25","58606466"
"21","Sevecke",97,"Christiansen","home","Everton Women","TFBB6277","2021-09-25","58606466"
"22","Pennock",32,"Quinn","away","Birmingham City Women","TFBB6273","2021-09-25","58606466"
"23","Kirby",25,"Ji","home","Chelsea Women","TFBB6275","2021-09-12","58451984"
"24","Kerr",47,NA,"home","Chelsea Women","TFBB6275","2021-09-12","58451984"
"25","Kerr",74,"Reiten","home","Chelsea Women","TFBB6275","2021-09-12","58451984"
"26","England",79,NA,"home","Chelsea Women","TFBB6275","2021-09-12","58451984"
"27","Williams",2,NA,"away","Brighton & Hove Albion Women","TFBB9165","2021-09-12","58451985"
"28","Kaagman",46,NA,"away","Brighton & Hove Albion Women","TFBB9165","2021-09-12","58451985"
"29","Carter",50,"Green","away","Brighton & Hove Albion Women","TFBB9165","2021-09-12","58451985"
"30","Koivisto",58,"Kaagman","away","Brighton & Hove Albion Women","TFBB9165","2021-09-12","58451985"
"31","Green",70,"Simpkins","away","Brighton & Hove Albion Women","TFBB9165","2021-09-12","58451985"
"32","McManus",61,NA,"home","Leicester City Women","TFBB12162","2021-09-12","58451987"
"33","Toone",36,"Zelem","away","Manchester United Women","TFBB14501","2021-09-12","58451987"
"34","Thorisdottir",47,NA,"away","Manchester United Women","TFBB14501","2021-09-12","58451987"
"35","Thomas",71,NA,"away","Manchester United Women","TFBB14501","2021-09-12","58451987"
"36","Beattie",17,"McCabe","away","Arsenal Women","TFBB6272","2021-09-12","58451983"
"37","Mead",30,NA,"away","Arsenal Women","TFBB6272","2021-09-12","58451983"
"38","Miedema",32,"Mead","away","Arsenal Women","TFBB6272","2021-09-12","58451983"
"39","Miedema",50,"Mead","away","Arsenal Women","TFBB6272","2021-09-12","58451983"
"40","Hemp",6,"Greenwood","home","Manchester City Women","TFBB9660","2021-09-12","58451986"
"41","Williams",61,"Ubogagu","away","Tottenham Hotspur Women","TFBB6924","2021-09-12","58451986"
"42","Benameur",86,NA,"away","Tottenham Hotspur Women","TFBB6924","2021-09-12","58451986"
"43","Leon",8,"Evans","home","West Ham United Women","TFBB636","2021-09-11","58444980"
"44","Allen",92,"Petzelberger","away","Aston Villa Women","TFBB9673","2021-09-11","58444980"
"45","Miedema",14,"McCabe","home","Arsenal Women","TFBB6272","2021-09-05","58373001"
"46","Mead",49,"Miedema","home","Arsenal Women","TFBB6272","2021-09-05","58373001"
"47","Mead",60,"Iwabuchi","home","Arsenal Women","TFBB6272","2021-09-05","58373001"
"48","Cuthbert",44,"Leupolz","away","Chelsea Women","TFBB6275","2021-09-05","58373001"
"49","Harder",64,"Cuthbert","away","Chelsea Women","TFBB6275","2021-09-05","58373001"
"50","Kaagman",33,NA,"home","Brighton & Hove Albion Women","TFBB9165","2021-09-05","58373000"
"51","Lee",41,NA,"home","Brighton & Hove Albion Women","TFBB9165","2021-09-05","58373000"
"52","Mayling",63,NA,"home","Aston Villa Women","TFBB9673","2021-09-04","58366048"
"53","Allen",64,NA,"home","Aston Villa Women","TFBB9673","2021-09-04","58366048"
"54","Flint",39,"O'Brien","away","Leicester City Women","TFBB12162","2021-09-04","58366048"
"55","Losada",26,NA,"away","Manchester City Women","TFBB9660","2021-09-04","58366049"
"56","Beckie",36,"Greenwood","away","Manchester City Women","TFBB9660","2021-09-04","58366049"
"57","Shaw",38,"Raso","away","Manchester City Women","TFBB9660","2021-09-04","58366049"
"58","Houghton",67,NA,"away","Manchester City Women","TFBB9660","2021-09-04","58366049"
"59","Graham",40,"Percival","home","Tottenham Hotspur Women","TFBB6924","2021-09-04","58366047"
"60","Hanson",39,"Toone","home","Manchester United Women","TFBB14501","2021-09-03","58351961"
"61","Batlle",54,"Toone","home","Manchester United Women","TFBB14501","2021-09-03","58351961"
"62","Harder",83,"Fleming","home","Chelsea Women","TFBB6275","2021-10-10","58777692"
"63","Kirby",94,"Kerr","home","Chelsea Women","TFBB6275","2021-10-10","58777692"
"64","Lee",37,NA,"home","Brighton & Hove Albion Women","TFBB9165","2021-10-10","58777693"
"65","Williams",86,"Symonds","home","Brighton & Hove Albion Women","TFBB9165","2021-10-10","58777693"
"66","Graham",88,NA,"away","Tottenham Hotspur Women","TFBB6924","2021-10-10","58777693"
"67","Eikeland",16,"Rowe","home","Reading Women","TFBB9669","2021-10-10","58777695"
"68","Rowe",19,"Eikeland","home","Reading Women","TFBB9669","2021-10-10","58777695"
"69","Dowie",48,"Rose","home","Reading Women","TFBB9669","2021-10-10","58777695"
"70","McCabe",32,NA,"home","Arsenal Women","TFBB6272","2021-10-10","58777694"
"71","Wubben-Moy",41,"McCabe","home","Arsenal Women","TFBB6272","2021-10-10","58777694"
"72","Maanum",86,NA,"home","Arsenal Women","TFBB6272","2021-10-10","58777694"
